"name","categery","doJOZc","Address","contact"
"ROYAL FURNITURE CENTER","Home goods store","","Navi Peth Jain Dharm stanak Near Chitale road Lodha hite, near Kapada Bagare",""
"New BOMBAY KITCHENS","Kitchen furniture store","","Excel Arcade, Laltaki Rd","098222 94670"
"S S Furniture","Furniture store","","Shop 1 Dagdi Chal Darga Daira, Road","098501 40905"
"New lucky farnichar","Sofa store","","4PGX+844, Pipeline Rd",""
"Sanap Kushan Works","Mattress store","","Pipeline Rd, opposite My Cinemas Bhista bag chowk","094213 33099"
"Sleepwell , Swastik Sales Corporation","Mattress store","","laltaki road","099224 20112"
"Gautam Ply","Furniture store","","Gautam Ply, Plot No 191/6, Tilak Rd, opp. Hotel Sanket","091561 75555"
"Hindware - NLK Sales","Furniture store","","Shop No 7, New Tilak Rd, near Paradise Hotel","098604 71522"
"Vithai Plywood","Plywood supplier","","police chowkee, Shilavihar road, Gulmohar Rd, opp. to Nayara Petrolpump","087964 18470"
"Viraj Furniture","Furniture store","","Shop No 01, Manorama Colony, Manmad Rd","098227 58174"
"Nitin Chandrakant Rasane","Kitchen supply store","","13, Shubh Mangal Complex, Near Savedi Naka, opp. Bhide Hospital","094039 89307"
"DB BHINGARWALA Curtains","Curtain store","","Lodha Heights, B-33, Navipeth Rd, opp. Ram Mandir",""
"Patel Plywood","Furniture store","","Tilak Rd, Near Swastik chowk","0241 247 0152"
"Raj laxmi modular","Kitchen furniture store","","m 24","096576 04079"
"Santosh Supekar Bamboo Marchant AMCB","Furniture store","","Bamboo Galli, near Kala Maruti","097308 58539"
"Duroflex - Mattress, Maliwada","Mattress store","","Shop No 1, Chetan Enterprises, Mutha Chambers, Vasant Talkies Rd, near Chandukaka Jewellers","099224 51751"
"Sai Samarth Furniture","Furniture store","","Belapur Road, near Pravara High School","075880 24169"
"Nikhil Foam House","Furniture store","","3PXM+J6W, Bagadpatti Rd","094040 63060"
"Kontak Comforts Pvt Ltd","Manufacturer","","·",""
"Mannan Furnishings","Furniture store","","4P9M+CHG, Professor Colony Chowk Rd, near Bagdiwala Heights",""
"BHOLA CUSHION WORKS","Store","","·","089757 15840"
"Tupperware HomeShop","Countertop store","","Anand Bunglow Gurukrupa Colony, near Jain Temple","094220 80676"
"KRISHNA FOAMS AND FURNISHING FABRIC","Upholstery shop","","Block no N12","090289 17342"
"Devang Corporation Crockery, Glassware & kitchenware (Wholesale and Retail) Shop","Gift shop","","Shri Mahaprabhuji marg, Juna Kapad Bazaar Rd","098223 50029"
"Chetak Ahmednagar","DS Automobiles dealer","","KAMDA AUTO RIDERS, Road, opp. Guru Furniture",""
"Sri Gurudatta My Kitchen","Kitchen furniture store","","H, 4539/40, Tange Galli, near old district court","091757 32021"
"Ashoka Furnishing House","Curtain store","","Vilas Shete, bora jewellers, 3664, Urban Bank Road, near Juna Kapad Bazaar Road","092253 25740"
"Vishwakarma Furniture","Furniture store","","4PFX+PQV, Shriram Chowk, Vasant Tekadi, Sheelvihar Road","098909 49406"
"Anand Steel","Furniture store","","Shop No 2","070206 91997"
"Venu Industries","Metal fabricator","","D-50","094222 26081"
"IFB Point - Ahmednagar","Appliance store","","Prasad Agencies, Shop No a/b 10, Gurukul, Opposite Kamal Motor, Laltaki","093251 06465"
"Ganesh Mandir Manufacturer","Furniture store","","New Tilak Rd","099216 64477"
"Jaquar Authorized Dealer - G D Parekh","Bathroom supply store","","Nagar, Manmad Rd, opposite Padmavathi HP Petrolpump","08071 912 402"
"Shriram Furniture","Furniture store","","Laxmi Niwas, Agarkar Mala, Station Rd","080875 16434"
"Mohan Trunk Depot","Chinaware store","","3PWR+G5C, Ganj Bazaar Rd","093725 26051"
"Bhavani Kitchen Gallery","Furniture store","","Shop No 1, Kalyani Hights, New Tilak Rd","080946 17317"
"New Style Furniture Works","Furniture store","","Shop No 01, New Tilak Rd","098226 68732"
"","","","",""
"Super Store Home Decor (Sofa ,Carpet , Wallpaper Curtains & Mattresses)","Carpet wholesaler","","3PVR+WQG, Parshakhunt Chowk Parshakunt","090287 86767"
"Takle Carpet House","Carpet wholesaler","","Mahajan galli, opp. to Samachar press",""
"Gulabchand Carpetwala","Carpet store","","3428, Khist Galli, near Old Cloth Market",""
"Rampurwala Rexin Carpets","Carpet store","","3PWQ+GR7, Kapad Market","086051 25252"
"Rampurawala Royal Rexine","Sofa store","","Juna Kapad Bazaar Rd","083080 15252"
"Karan Home Decor {KD}","Carpet store","","Infront Anand Saree Center, Shop No 01 Kushtadham Road Sona Nagar Chowk","086984 56456"
"Shaniraj International Mall","Tile store","","MH MSH 2","098507 62299"
"Sajawat carpet","Building materials store","","Patwardhan Chowk, Anandi Bazaar",""
"Swami Decor - पडदावाला","Window treatment store","","Kushtdhaam Road, Savedi, near Samarth Vidya Mandir","099604 44141"
"Kartik Home Decor","Home goods store","","4P9P+Q2W, near samrtha school","099219 55551"
"KrushnaPrakash Home Cleaning Services","Carpet cleaning service","","Road","088052 58877"
"RK INTERIORS & FURNITECH (A FACTORY OUTLET )","Furniture store","","·","082750 34148"
"Rampurawala Furnishings","Carpet store","","2, City centre Complex Miskin Mala Tarakpur, Ganga Udyan Rd","099701 71752"
"DB BHINGARWALA Curtains","Carpet store","","Lodha Heights, B-33, Navipeth Rd, opp. Ram Mandir",""
"Gdd marbles and granites","Tile store","","·","088889 28474"
"Vaishnavi Tiles & Trading Company","Tile store","","·","095901 51515"
"Om Interbuild","Interior designer","","G, 04, Balikashram Rd","091687 05559"
"Shaniraj Tiles & Marble","Home goods store","","Vadgaon Gupta Rd, behind Hotel Sanjog","098500 05185"
"AHUJA ENTERPRISES","Wholesaler","","ground floor, shop no 3, s.no 1451/2, shivsadan apartment vanjar galli, aadat, Juna Mangalwar Bazar",""
"Kapad Bazar Ahmednagar","Market","","·",""
"Shree Anand Enterprises","Bathroom supply store","","Ujjwal Complex, Plot No B/30-31, opposite Old Bus Stand","090756 55555"
"Pitrodas Furniture","Furniture store","","New Tilak Rd, Near Sakkar chowk","092720 00022"
"Saudagar Furniture","Furniture store","","4QW6+WX7, Gajraj Nagar",""
"Sabne Furniture Mall","Furniture store","","Nagar, Aurangabad - Ahmednagar - Pune Hwy","086682 16317"
"SHREE ANAND TRADING COMPANY","Tile store","","·","094222 25132"
"Pankaj Steel Traders","Building materials store","","4PCH+68Q","090282 85050"
"Paras Home Decor","Tile store","","Beed Bypass Rd, opp. Guru Lawns","098238 50739"
"Hem Marketing & TILES","Tile store","","·","094225 34980"
"रूपसंगम फर्निचर","Furniture store","","पांडुरंग वाघमारे मिस्तरी, शिंगवे तुकाई ता नेवासा जिल्हा अहमदनगर, सुतार गल्ली","070584 74248"
"Maloo Brothers","Paint store","","3PWR+74V, Ganj Bazaar Rd","099234 58777"
"Orientbell Tiles Boutique - Hem Marketing","Tile store","","Cottage Corner Nagar Manmad Road, Road, opposite Sangam Hotel","082912 38352"
"Home Decore","Window treatment store","","Neta Subhash Chowk, Navipeth Rd","087887 79905"
"Sachin Namdeo Chikane","Carpet store","","Nagar-Kalyan Rd","092098 89668"
"","","","",""
"Kamlesh Car Sajawat,Car detailing,decarbonization","Auto Accessories Store","","Laltaki , Appu Chowk.","097660 72271"
